Title,Word Frequency,Sentiment,Length,Number of Characters,Entity Frequency,Topics,Genres
Bade Miyan Chote Miyan,"{'.': 20, 'the': 17, 'you': 12, 'is': 11, 'and': 10, '?': 9, 'we': 8, 'who': 7, ',': 7, 'of': 7, 'a': 6, 'this': 6, '...': 5, 'are': 4, 'i': 4, 'to': 4, 'in': 4, 'dangerous': 3, 'an': 3, 'be': 3, 'bigger': 3, '!': 3, ""'ll"": 3, 'for': 3, 'india': 3, 'our': 3, 'most': 2, 'enemy': 2, ""n't"": 2, 'name': 2, 'mind': 2, 'package': 2, 'powerful': 2, 'have': 2, 'need': 2, 'why': 2, 'it': 2, ""'s"": 2, 'my': 2, 'ego': 2, 'talent': 2, 'his': 2, 'me': 2, 'regiment': 2, 'more': 2, 'lives': 2, 'each': 2, 'other': 2, 'one': 1, 'does': 1, 'fear': 1, 'death': 1, 'without': 1, 'identity': 1, 'or': 1, 'face': 1, 'whose': 1, 'only': 1, 'goal': 1, 'revenge': 1, 'doom': 1, ""'m"": 1, 'taking': 1, 'something': 1, 'precious': 1, 'from': 1, 'all': 1, 'hope': 1, 'don': 1, '’': 1, 't': 1, 'weapon': 1, 'ever': 1, 'made': 1, 'country': 1, 'world': 1, 'has': 1, 'never': 1, 'seen': 1, 'war': 1, 'three': 1, 'days': 1, 'act': 1, 'now': 1, 'if': 1, 'want': 1, 'catch': 1, 'psychopath': 1, 'two': 1, 'even': 1, 'psychos': 1, 'heart': 1, 'soldier…': 1, 'devil': 1, 'beware': 1, 'us…': 1, 'cover': 1, 'north': 1, 'handle': 1, 'east': 1, 'would': 1, 'lead': 1, 'because': 1, 'am': 1, 'best': 1, 'experienced': 1, 'mature': 1, 'young': 1, 'dynamic': 1, 'perfectionist': 1, 'fast': 1, 'furious': 1, 'older': 1, 'mission': 1, 'accompanied': 1, 'by': 1, 'captain': 1, 'misha': 1, 'pam…': 1, 'specialist': 1, 'undercover': 1, 'asset': 1, ""'ve"": 1, 'tracked': 1, 'underground': 1, 'vault': 1, 'london': 1, 'do': 1, 'both': 1, 'follow': 1, 'orders': 1, 'than': 1, 'biggest': 1, 'whole': 1, 'will': 1, 'suffer': 1, 'consequences': 1, 'what': 1, 'did': 1, 'think': 1, 'real': 1, 'heroes': 1, 'try': 1, 'stop': 1, 'battlefield': 1, 'may': 1, 'yours': 1, 'but': 1, ""'re"": 1, 'oldest': 1, 'players': 1, 'game': 1, 'lions': 1, 'long': 1, 'live': 1, 'wounded': 1, 'soldier': 1, 'gets…': 1, 'he': 1, 'becomes': 1, 'very': 1, 'old': 1, 'friends…': 1, 'can': 1, 'give': 1, 'also': 1, 'take': 1}",0.1264524555903866,1474,36,"{'GPE': 3, 'PERSON': 3, 'LOC': 2, 'DATE': 1, 'CARDINAL': 1}","[{'the': 0.028, 'to""\')': 0.022}, {'is': 0.032, 'and""\')': 0.026}, {'?': 0.035, 'you""\')': 0.023}]","['Action', 'Comedy', 'Science Fiction']"
Aranmanai 4,"{'.': 15, 'the': 11, ',': 9, ""'s"": 8, 'that': 7, '?': 6, 'a': 5, 'and': 4, 'to': 4, 'of': 4, 'your': 4, 'sister': 4, 'is': 4, '!': 4, 'i': 4, 'you': 4, 'death': 3, 'in': 3, 'something': 3, 'what': 3, 'ghost': 3, 'baak': 3, 'do': 3, 'it': 3, 'sir': 2, 'looks': 2, 'like': 2, 'was': 2, 'husband': 2, 'off': 2, 'hung': 2, 'herself': 2, 'my': 2, '...': 2, 'not': 2, 'same': 2, 'people': 2, 'saw': 2, 'after': 2, 'sage': 2, 'an': 2, ""n't"": 2, 'control': 2, 'with': 2, 'powers': 2, 'become': 2, 'can': 2, 'this': 2, '4': 2, 'away': 2, 'there': 1, 'spat': 1, 'between': 1, 'wife': 1, 'distressed': 1, 'took': 1, 'forest': 1, 'died': 1, 'cardiac': 1, 'arrest': 1, 'enraged': 1, 'suicide': 1, 'look': 1, 'here': 1, 'show': 1, 'lawyer': 1, 'skills': 1, 'court': 1, 'at': 1, 'time': 1, 'when': 1, 'few': 1, 'claimed': 1, 'have': 1, 'seen': 1, 'her': 1, 'outside': 1, 'wrong': 1, 'person': 1, 'mortuary': 1, 'so': 1, 'saying': 1, 'he': 1, 'talking': 1, 'about': 1, 'some': 1, 'named': 1, '-yesterday': 1, 'night': 1, '-who': 1, 'ominous': 1, 'figure': 1, 'shakthi': 1, 'room': 1, 'why': 1, 'taking': 1, 'those': 1, 'two': 1, 'lives': 1, 'has': 1, 'more': 1, 'powerful': 1, 'now': 1, 'mere': 1, 'human': 1, 'anymore': 1, 'only': 1, 'god': 1, 'might': 1, 'save': 1, 'us': 1, 'who': 1, 'are': 1, 'want': 1, 'were': 1, 'right': 1, 'doing': 1, 'but': 1, ""'ve"": 1, 'gut': 1, 'feeling': 1, 'going': 1, 'happen': 1, 'tonight': 1, 'on': 1, 'day': 1, 'festival': 1, 'if': 1, 'takes': 1, 'over': 1, 'soul': 1, 'three': 1, 'then': 1, 'evil': 1, 'spirit': 1, 'will': 1, 'omnipotent': 1, 'force': 1, 'aranmanai': 1, '(': 1, 'palace': 1, '-': 1, ')': 1, 'ca': 1, 'even': 1, 'chase': 1, 'fly': 1, 'team': 1, 'forget': 1, 'chasing': 1, 'name': 1}",-0.0103571428571428,1224,25,"{'PERSON': 3, 'CARDINAL': 3, 'TIME': 2, 'GPE': 1, 'DATE': 1}","[{',': 0.032, '\\\'s""\')': 0.032}, {'.': 0.037, 'sister""\')': 0.03}, {'and': 0.028, 'do""\')': 0.02}]","['Horror', 'Comedy']"
Kill (2024),"{'.': 4, '(': 3, ')': 3, 'you': 2, 'locomotive': 1, 'whooshing': 1, 'train': 1, 'bells': 1, 'ringing': 1, 'music': 1, 'intensifies': 1, '-': 1, 'welcome': 1, 'please': 1, 'prepare': 1, 'for': 1, 'departure': 1, 'we': 1, 'hope': 1, 'have': 1, 'a': 1, 'safe': 1, 'pleasant': 1, 'and': 1, 'delightful': 1, 'journey': 1, 'ahead': 1, 'thank': 1}",0.7583333333333333,179,4,{},"[{'(': 0.11, '.""\')': 0.077}, {'.': 0.108, 'you""\')': 0.108}, {'you': 0.063, 'hope""\')': 0.062}]",['Action']
BAD BOYS: RIDE OR DIE –,"{'.': 37, '!': 24, '’': 23, ',': 18, 'you': 16, '?': 13, ':': 12, 'i': 10, 't': 9, 'now': 8, 'a': 8, 'the': 8, 'right': 7, 'marcus': 7, 'my': 6, 'is': 5, 'we': 5, 'to': 5, 'no': 5, 'it': 4, 'on': 4, 'mike': 4, 'are': 4, 'need': 4, 'that': 4, 'this': 4, 'howard': 4, '...': 4, 'what': 4, 's': 4, 're': 4, 'don': 4, 'bad': 3, 'get': 3, 'and': 3, 'in': 3, 'ain': 3, 'fuck': 3, 'up': 3, 'he': 3, 'with': 3, 'sir': 3, 'but': 3, 'got': 3, 'm': 3, 'us': 3, 'all': 3, 'black': 3, 'your': 3, 'reba': 3, 'boys': 2, 'out': 2, 'yeah': 2, ""'s"": 2, 'come': 2, 'late': 2, 'ginger': 2, 'ale': 2, '(': 2, ')': 2, 'put': 2, 'em': 2, 'me': 2, 'some': 2, 'thug': 2, 'want': 2, 'deal': 2, 'go': 2, 'snacks': 2, 'look': 2, 'news': 2, 'anchor': 2, 'conrad': 2, 'being': 2, 'from': 2, 'not': 2, '‘': 2, 'shit': 2, 'y': 2, 'stealing': 2, 'sing': 2, 'song': 2, 'woman': 2, 'gon': 2, 'na': 2, 'trailer': 1, 'coming': 1, 'ri-right': 1, '-ch-check': 1, 'hot': 1, 'slow': 1, 'down': 1, 'stomach': 1, 'screaming': 1, 'nothing': 1, 'else': 1, 'those': 1, 'dogs': 1, 'fresh': 1, 'yesterday': 1, 'give': 1, 'one': 1, 'relish': 1, 'motherfucker': 1, 'open': 1, 'register': 1, 'stay': 1, 'there': 1, 'skittles': 1, 'counter': 1, 'mine': 1, 'yes': 1, 'shut': 1, 'car': 1, 'has': 1, 'gun': 1, 'head': 1, 'him': 1, 'or': 1, 'sorry': 1, 'ta': 1, 'call': 1, '911.': 1, 'clerk': 1, 'aren': 1, 'police': 1, 'hey': 1, 'reggie': 1, 'did': 1, 'eat': 1, 'ate': 1, 'didn': 1, 'job': 1, 'marine': 1, 'well': 1, 'then': 1, 'deploy': 1, 'daughter': 1, 'dad': 1, 'have': 1, 'evidence': 1, 'capt': 1, 'of': 1, 'miami': 1, 'pd': 1, 'was': 1, 'working': 1, 'directly': 1, 'drug': 1, 'cartels': 1, 'for': 1, 'years': 1, 'captain': 1, 'framed': 1, 'let': 1, 'hell': 1, 'texting': 1, 'other': 1, 'side': 1, 'if': 1, 'seeing': 1, 'probably': 1, 'dead': 1, 'fuckers': 1, 'how': 1, 'high': 1, 'goes': 1, 'trust': 1, 'anybody': 1, 'clear': 1, 'name': 1, 'armando': 1, 'should': 1, 'be': 1, 'careful': 1, 'set': 1, 'detectives': 1, 'judy': 1, 'two': 1, 'suspects': 1, 'lowrey': 1, 'burnett': 1, 'they': 1, 'armed': 1, 'dangerous': 1, '5…': 1, '4….3…': 1, 'windshield': 1, 'wiper': 1, 'fluid': 1, 'flammable': 1, 'damn': 1, 'scientist': 1, 'terrible': 1, 'fucking': 1, 'fugitives': 1, 'nasty': 1, 'boy': 1, 'yelling': 1, 'though': 1, 'our': 1, 'clothes': 1, 'just': 1, 'because': 1, 'at': 1, 'shirt': 1, 'why': 1, 'little': 1, 'oh': 1, 'favorite': 1, 'uh': 1, ""'m"": 1, 'strong': 1, 'cuz': 1, 'she': 1, '-yes': 1, 'do': 1, '…': 1, 'her': 1, 'mixtape': 1}",-0.1723268849206349,2012,75,"{'PERSON': 20, 'DATE': 3, 'GPE': 3, 'CARDINAL': 2}","[{'!': 0.047, '?""\')': 0.031}, {'.': 0.042, 'you""\')': 0.027}, {',': 0.043, '’""\')': 0.027}]","['Action', 'Thriller', 'Crime']"
Godzilla x Kong: The New Empire,"{'.': 20, '[': 18, ']': 18, '-': 15, ',': 6, 'the': 6, 'roaring': 6, 'a': 5, 'of': 4, 'it': 4, 'they': 4, '?': 4, 'for': 3, 'feel': 3, 'kong': 3, 'is': 3, 'just': 3, 'to': 3, 'oh': 3, '♪♪♪': 3, 'that': 3, ""n't"": 3, 'have': 3, 'was': 2, 'apes': 2, 'we': 2, ""'ve"": 2, 'signal': 2, 'can': 2, '...': 2, 'godzilla': 2, 'something': 2, 'you': 2, 'like': 2, 'i': 2, 'not': 2, 'what': 2, 'my': 2, 'god': 2, 'soundwaves': 2, 'warbling': 2, ""'s"": 2, 'whimpering': 2, 'muffled': 1, 'explosion': 1, 'centuries': 1, 'there': 1, 'harmony': 1, 'titans': 1, 'were': 1, 'guardians': 1, 'nature': 1, 'and': 1, 'great': 1, 'became': 1, 'protectors': 1, 'humanity': 1, 'high-pitch': 1, 'ringing': 1, 'discovered': 1, 'seismometer': 1, 'scraping': 1, 'she': 1, 'too': 1, 'coming': 1, 'even': 1, ""'re"": 1, 'afraid': 1, 'going': 1, 'ride': 1, 'thought': 1, ""'d"": 1, 'never': 1, 'ask': 1, 'try': 1, 'swallow': 1, 'your': 1, 'tongue': 1, '!': 1, 'chittering': 1, 'mini-kong': 1, 'call': 1, 'war': 1, 'growing': 1, 'grunting': 1, 'pounding': 1, 'ca': 1, 'stop': 1, 'this': 1, 'on': 1, 'his': 1, 'own': 1, 'he': 1, 'wo': 1, 'be': 1, 'alone': 1, 'last': 1, 'time': 1, 'those': 1, 'two': 1, 'met': 1, 'up': 1, 'almost': 1, 'end': 1, 'do': 1, 'each': 1, 'other': 1, 'growling': 1, 'work': 1, 'together': 1, 'now': 1, 'seen': 1, 'everything': 1, 'explosions': 1, 'made': 1, 'some': 1, 'minor': 1, 'augmentations': 1}",0.0791666666666666,1048,26,"{'ORG': 2, 'NORP': 1, 'CARDINAL': 1, 'GPE': 1}","[{'[': 0.047, ']""\')': 0.047}, {']': 0.065, '[""\')': 0.065}, {'-': 0.008, ']""\')': 0.008}]","['Action', 'Science Fiction', 'Adventure', 'Fantasy']"
Alien: Romulus,"{',': 9, 'come': 7, 'on': 7, '.': 6, 'help': 2, 'me': 2, 'no': 2, 'i': 2, 'do': 2, ""n't"": 2, 'it': 2, 'voices': 1, 'someone': 1, 'please': 1, '...': 1, 'know': 1, 'what': 1, 'is': 1, 'get': 1, 'away': 1, 'from': 1, 'open': 1, 'the': 1, 'door': 1, '!': 1, '[': 1, 'screams': 1, ']': 1, 'run': 1}",0.0,194,7,{},"[{'.': 0.081, 'it""\')': 0.08}, {'do': 0.079, 'n\\\'t""\')': 0.079}, {'on': 0.157, 'come""\')': 0.136}]","['Science Fiction', 'Horror', 'Thriller']"
FURIOSA : A MAD MAX SAGA,"{'-': 14, '!': 11, '.': 11, '[': 10, ']': 10, '♪♪': 8, '...': 7, 'furiosa': 4, 'my': 4, ""'s"": 4, 'you': 4, 'engine': 3, 'revving': 3, ',': 3, 'it': 3, '?': 3, 'to': 3, 'we': 2, 'took': 2, 'a': 2, 'world': 2, 'was': 2, 'mother': 2, 'he': 2, 'from': 2, 'me': 2, 'dementus': 2, 'do': 2, 'have': 2, 'place': 2, 'of': 2, 'is': 2, 'i': 2, 'want': 2, 'them': 2, 'back': 2, 'will': 2, 'find': 2, 'home': 2, 'the': 2, 'hope': 2, 'there': 2, ""'ve"": 1, 'come': 1, 'too': 1, 'far': 1, 'rumbling': 1, 'they': 1, 'screaming': 1, 'as': 1, 'child': 1, 'forever': 1, 'changed': 1, 'magnificent': 1, 'gunshot': 1, 'then': 1, 'all': 1, 'chanting': 1, 'who': 1, 'here': 1, 'she': 1, 'abundance': 1, 'this': 1, 'our': 1, 'destiny': 1, 'childhood': 1, 'tires': 1, 'squealing': 1, 'whatever': 1, 'however': 1, 'long': 1, 'takes': 1, 'promise': 1, 'your': 1, 'way': 1, 'mom': 1, 'protect': 1, 'green': 1, 'time': 1, 'take': 1, 'what': 1, 'rightfully': 1, 'ours': 1, 'ready': 1, 'steady': 1, 'go': 1, 'bullets': 1, 'clinking': 1, 'where': 1, 'are': 1, 'going': 1, 'so': 1, 'full': 1, 'no': 1, 'if': 1, 'him': 1, 'mine': 1, 'laughing': 1, 'always': 1, 'be': 1, 'war': 1, 'but': 1, 'get': 1, 'fought': 1, 'remember': 1}",0.1920717592592592,861,27,"{'PERSON': 4, 'ORG': 3, 'GPE': 1}","[{'!': 0.059, '[""\')': 0.056}, {'you': 0.032, ']""\')': 0.032}, {'!': 0.043, '...""\')': 0.033}]","['Science Fiction', 'Action', 'Adventure']"
Mother of the Bride,"{'.': 33, ',': 18, 'you': 14, '?': 14, 'i': 12, 'the': 10, ""'s"": 8, 'a': 8, 'to': 7, ""n't"": 6, 'of': 6, 'and': 6, ""'m"": 5, 'what': 5, 'my': 4, 'is': 4, 'mother': 4, 'be': 4, 'your': 4, 'like': 3, 'time': 3, 'in': 3, ""''"": 3, 'are': 3, 'but': 3, 'do': 3, 'care': 3, 'wedding': 2, 'for': 2, 'we': 2, 'get': 2, ""'re"": 2, 'see': 2, 'asterisk': 2, '!': 2, 'this': 2, '--': 2, 'mean': 2, 'going': 2, 'on': 2, 'college': 2, '-oh': 2, 'it': 2, 'serious': 2, 'who': 2, 'have': 2, 'let': 2, 'him': 2, 'he': 2, 'will': 2, '-i': 2, 'thing': 2, 'can': 2, 'relax': 2, '-she': 2, 'so': 2, 'then': 2, 'were': 2, 'one': 2, 'just': 2, 'partner': 2, 'take': 2, 'bit': 2, 'ca': 1, 'believe': 1, 'little': 1, 'girl': 1, 'getting': 1, 'married': 1, 'here': 1, 'itinerary': 1, 'week': 1, 'looks': 1, 'wo': 1, 'much': 1, 'together': 1, 'dance': 1, 'rehearsal': 1, '-': 1, 'bride': 1, '-now': 1, 'an': 1, 'rj': 1, 'aunt': 1, 'janice': 1, 'must': 1, '-lana': 1, '-hi-lo': 1, '``': 1, 'hello': 1, 'could': 1, 'someone': 1, 'explain': 1, 'once': 1, 'upon': 1, 'father': 1, 'emma': 1, 'dated': 1, '-wait': 1, 'was': 1, 'daughter': 1, 'has': 1, 'fall': 1, 'son': 1, 'guy': 1, 'ripped': 1, 'heart': 1, 'out': 1, 'play': 1, 'cool': 1, 'missed': 1, 'know': 1, '-what': 1, 'doing': 1, 'leaving': 1, 'best': 1, '-mixed': 1, 'doubles': 1, 'does': 1, 'lose': 1, 'said': 1, 'anything': 1, 'about': 1, 'losing': 1, 'sorry': 1, '-hey': 1, 'buddy': 1, 'doctor': 1, 'need': 1, 'breathe': 1, 'hey': 1, 'listen': 1, 'buy': 1, 'drink': 1, 'tonight': 1, 'thank': 1, 'wide': 1, 'open': 1, '-see': 1, '-you': 1, 'welcome': 1, 'that': 1, 'big': 1, 'deal': 1, 'everything': 1, 'each': 1, 'other': 1, 'day': 1, 'gone': 1, 'everyone': 1, 'find': 1, 'partners': 1, ""'ll"": 1, 'between': 1, 'two': 1, 'them': 1, '-mom': 1, 'okay': 1, '-honey': 1, 'fine': 1, 'me': 1, 'less': 1, 'yourself': 1, 'more': 1, 'want': 1, 'happy': 1, 'nothing': 1, 'says': 1, 'elegance': 1, 'black': 1, 'white': 1, 'wearing': 1}",0.1039855072463768,1482,49,"{'DATE': 2, 'ORG': 2, 'PERSON': 1, 'TIME': 1, 'CARDINAL': 1}","[{'.': 0.06, 'I""\')': 0.036}, {'you': 0.029, 'a""\')': 0.025}, {'?': 0.03, 'to""\')': 0.03}]","['Romance', 'Comedy']"
The Penguin,"{'(': 13, ')': 13, '.': 10, '♪': 8, 'a': 8, ',': 8, 'he': 6, '-': 5, 'was': 5, 'music': 4, 'you': 3, 'the': 3, ""'"": 3, 'plays': 2, 'screams': 2, 'when': 2, 'i': 2, 'to': 2, 'and': 2, 'in': 2, 'parade': 2, 'it': 2, 'of': 2, 'tense': 1, '-hey': 1, '!': 1, 'gunshot': 1, 'fires': 1, 'alarm': 1, 'wails': 1, 'distantly': 1, 'ominous': 1, 'oz': 1, 'cobblepot': 1, ':': 1, 'kid': 1, '...': 1, 'there': 1, 'gangster': 1, 'real': 1, 'old': 1, 'school': 1, 'type': 1, 'rex': 1, 'calabrese': 1, 'big': 1, 'deal': 1, 'helped': 1, 'people': 1, 'if': 1, 'saw': 1, 'on': 1, 'street': 1, ""'d"": 1, 'call': 1, 'out': 1, ""'m"": 1, '14': 1, 'or': 1, 'somethin': 1, 'has': 1, 'heart': 1, 'attack': 1, 'dies': 1, 'still': 1, 'holdin': 1, 'cigar': 1, 'my': 1, 'neighborhood': 1, 'they': 1, 'throw': 1, 'his': 1, 'honor': 1, 'friggin': 1, ""n't"": 1, 'fancy': 1, 'but': 1, 'gesture': 1, 'show': 1, 'love': 1, 'what': 1, 'meant': 1, 'builds': 1, 'clock': 1, 'ticking': 1, 'shouts': 1, 'explosion': 1, 'gunfire': 1, 'yells': 1, 'stops': 1, 'abruptly': 1, 'can': 1, 'imagine': 1, 'be': 1, 'remembered': 1, 'like': 1, 'that': 1, '?': 1}",-0.0614583333333333,691,12,"{'PERSON': 5, 'ORG': 4, 'CARDINAL': 1}","[{'(': 0.081, '♪""\')': 0.051}, {'he': 0.052, 'you""\')': 0.036}, {'was': 0.04, ',""\')': 0.04}]","['Animation', 'Adventure', 'Family']"
Damsel,"{'.': 18, 'you': 7, 'i': 5, 'a': 5, 'this': 4, 'your': 4, 'to': 4, 'of': 4, 'need': 3, ',': 3, '!': 3, 'have': 2, 'we': 2, 'people': 2, 'me': 2, 'now': 2, 'them': 2, 'elodie': 2, 'is': 2, 'every': 2, 'story': 2, 'made': 1, 'match': 1, 'prince': 1, 'listen': 1, 'do': 1, ""n't"": 1, 'trust': 1, 'they': 1, 'may': 1, 'be': 1, 'royalty': 1, 'but': 1, 'that': 1, ""doesn't"": 1, 'make': 1, 'good': 1, 'hand': 1, 'child': 1, 'close': 1, 'eyes': 1, ""'ve"": 1, 'got': 1, 'help': 1, 'what': 1, 'happened': 1, '?': 1, 'join': 1, 'long': 1, 'line': 1, 'women': 1, 'who': 1, 'helped': 1, 'build': 1, 'kingdom': 1, 'it': 1, 'sacrifice': 1, 'commemorate': 1, 'generation': 1, 'tradition': 1, 'going': 1, 'back': 1, 'centuries': 1, 'legacy': 1, 'honor': 1, 'and': 1, 'duty': 1, 'inherit': 1, 'run': 1, 'will': 1, 'escape': 1, 'for': 1, 'innocent': 1, 'woman': 1, 'whose': 1, 'life': 1, 'was': 1, 'stolen': 1, 'seize': 1, 'her': 1, 'know': 1, 'nothing': 1, 'our': 1, 'the': 1, 'end': 1}",0.3625,616,22,{'PERSON': 2},"[{'!': 0.047, 'A""\')': 0.036}, {'this': 0.038, 'of""\')': 0.027}, {'you': 0.058, 'I""\')': 0.044}]","['Fantasy', 'Action', 'Adventure']"
