videoId,title,movieName,genres
IGzLHNPO4QI,"Bade Miyan Chote Miyan-Official Hindi Trailer | Akshay, Tiger, Prithviraj | AAZ |In Cinemas 10th Apr",Bade Miyan Chote Miyan,"['Action', 'Comedy', 'Science Fiction']"
Keck4iVUUdE,Aranmanai 4 - Official Trailer | Sundar.C | Tamannaah | Raashii Khanna | Hiphop Tamizha,Aranmanai 4,"['Horror', 'Comedy']"
cVyNeDYu9Kk,"Kill (2024) Official Teaser Trailer -  Lakshya, Tanya Maniktala, Raghav Juyal",Kill (2024),['Action']
hRFY_Fesa9Q,BAD BOYS: RIDE OR DIE – Official Trailer (HD),BAD BOYS: RIDE OR DIE –,"['Action', 'Thriller', 'Crime']"
qqrpMRDuPfc,Godzilla x Kong: The New Empire | Official Trailer 2,Godzilla x Kong: The New Empire,"['Action', 'Science Fiction', 'Adventure', 'Fantasy']"
GTNMt84KT0k,Alien: Romulus | Teaser Trailer,Alien: Romulus,"['Science Fiction', 'Horror', 'Thriller']"
3uvfq4Cu8R8,"Crew | Trailer | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",Crew,"['Comedy', 'Drama']"
FVswuip0-co,FURIOSA : A MAD MAX SAGA | OFFICIAL TRAILER #2,FURIOSA : A MAD MAX SAGA,"['Science Fiction', 'Action', 'Adventure']"
bUSoEQBHtSg,Mother of the Bride | Official Trailer | Netflix,Mother of the Bride,"['Romance', 'Comedy']"
DQghiGQi6Lo,The Penguin | Official Teaser | Max,The Penguin,"['Animation', 'Adventure', 'Family']"
iM150ZWovZM,Damsel | Official Trailer | Netflix,Damsel,"['Fantasy', 'Action', 'Adventure']"
BtytYWhg2mc,The Acolyte | Official Trailer | Disney+,The Acolyte,['Comedy']
lV1OOlGwExM,Godzilla x Kong : The New Empire | Official Trailer,Godzilla x Kong : The New Empire,"['Action', 'Science Fiction', 'Adventure', 'Fantasy']"
XtFI7SNtVpY,Kingdom of the Planet of the Apes | Official Trailer,Kingdom of the Planet of the Apes,"['Science Fiction', 'Adventure', 'Action']"
g8zxiB5Qhsc,Monkey Man | Official Trailer,Monkey Man,"['Action', 'Thriller']"
uYPbbksJxIg,Oppenheimer | New Trailer,Oppenheimer,"['Drama', 'History']"
6amIq_mP4xM,"Fighter Official Trailer | Hrithik Roshan, Deepika Padukone, Anil Kapoor, Siddharth Anand | 25th Jan",Fighter,"['Action', 'Drama', 'Romance']"
NuON7HH0UkQ,CUCKOO - Official Trailer,CUCKOO,"['Horror', 'Thriller', 'Mystery']"
wdok0rZdmx4,TWISTERS | Official Trailer,TWISTERS,"['Action', 'Adventure', 'Drama']"
rYzIOBwyhIU,BACK TO BLACK - Official Trailer [HD] - Only In Theaters May 17,BACK TO BLACK,"['Music', 'Drama']"
qQlr9-rF32A,Despicable Me 4 | Official Trailer,Despicable Me 4,"['Animation', 'Family', 'Comedy', 'Adventure']"
8FkLRUJj-o0,"ANIMAL (OFFICIAL TRAILER): Ranbir Kapoor | Rashmika M, Anil K, Bobby D | Sandeep Vanga | Bhushan K",ANIMAL (,"['Science Fiction', 'Fantasy', 'Adventure', 'Drama']"
aqa3YTtwvaU,Monkey Man | Official Trailer 2,Monkey Man,"['Action', 'Thriller']"
3AuB8RTfBJc,YODHA - OFFICIAL TRAILER | Sidharth Malhotra | Raashii Khanna | Disha Patani | Sagar &amp; Pushkar,YODHA,"['Drama', 'Action']"
aDyQxtg0V2w,Civil War | Official Trailer HD | A24,Civil War,"['Action', 'Science Fiction', 'Drama']"
e6yDanmWI1E,BEETLEJUICE BEETLEJUICE | Official Teaser Trailer,BEETLEJUICE BEETLEJUICE,"['Fantasy', 'Comedy']"
Y0ZsLudtfjI,Road House - Official Trailer | Prime Video,Road House,"['Action', 'Thriller']"
uGXB1PFg7E0,"Amar Singh Chamkila | Official Trailer | Imtiaz Ali, A.R. Rahman, Diljit Dosanjh, Parineeti Chopra",Amar Singh Chamkila,"['Drama', 'Music']"
xB7b3RzicUU,Family Star Trailer - Vijay Deverakonda | Mrunal | Parasuram | Dil Raju | Gopi Sundar,Family Star,"['Comedy', 'Romance', 'Drama', 'Action']"
WojIv-PVYm8,HAROLD AND THE PURPLE CRAYON - Official Trailer (HD),HAROLD AND THE PURPLE CRAYON,"['Adventure', 'Family', 'Fantasy', 'Comedy']"
V-mugKDQDlg,Fallout - Official Trailer | Prime Video,Fallout,"['Action', 'Science Fiction']"
cA4wVhs3HC0,Civil War | Official Trailer 2 HD | A24,Civil War,"['Action', 'Science Fiction', 'Drama']"
D_uFgmH_kfQ,ATLAS | Official Teaser | Netflix,ATLAS,"['Action', 'Science Fiction']"
2lqRPUhPfho,Unfrosted | Official Trailer | Netflix,Unfrosted,"['Comedy', 'History']"
kDzAKXNnAVA,Maidaan Trailer | Ajay Devgn | Amit Sharma | Boney K | A.R. Rahman | Fresh Lime Films | 10th April,Maidaan,['Drama']
14knD_AEFJo,YODHA - OFFICIAL TEASER | Sidharth Malhotra | Raashii Khanna | Disha Patani | Sagar &amp; Pushkar,YODHA,"['Drama', 'Action']"
