title,text,genre
"Bade Miyan Chote Miyan-Official Hindi Trailer | Akshay, Tiger, Prithviraj | AAZ |In Cinemas 10th Apr","The most dangerous enemy is the one who doesn't fear death. An enemy without a name, identity, or face, whose only goal is... Revenge. Who are you? Doom. I'm taking something precious from you all... I hope you don’t mind. The package is the most powerful and dangerous weapon ever to be made in this country. The world has never seen a bigger war. You have three days. You need to act now! If we want to catch this psychopath, we'll need two even bigger psychos. We have the heart of a soldier… And the mind of a devil. Beware of us… For we are India! I'll cover the North, you handle the East. Why would you lead? Because I am the best. Who is experienced and mature? Who is young and dynamic? Who is powerful and a perfectionist? Who is fast and furious? Who is older? In this mission, you'll be accompanied by Captain Misha and Pam… an IT Specialist and our undercover asset. We've tracked the package... It's in an underground vault in London. Why don't you both follow orders? My ego is bigger than my talent... His biggest talent is his ego. The whole of India will suffer the consequences for what you did to me. You think you are real heroes? Try and stop me. This battlefield may be yours... But we're the oldest players of this game. The name of our regiment is Lions. Long Live India! The more wounded a soldier of this regiment gets… The more dangerous he becomes. We are very old friends… We can give our lives for each other, and also take each other's lives.","['Action', 'Comedy', 'Science Fiction']"
Aranmanai 4 - Official Trailer | Sundar.C | Tamannaah | Raashii Khanna | Hiphop Tamizha,"Sir, looks like there was a spat
between husband and wife. The distressed husband took off
to the forest and died of cardiac arrest. And your enraged sister
hung herself to death. My sister's death... is not a suicide. Look here, show off your lawyer skills
in the court! At the same time when
my sister hung herself, few people claimed
to have seen her outside. Something's wrong. I saw the same person in the mortuary
after your sister's death. So, what is that sage saying? He's talking about some ghost
named Baak. -Yesterday night...
-Who's that? I saw an ominous figure
in Shakthi's room. Why don't you do something and control
that Baak with your powers? After taking those two lives, it
has become more powerful now. Mere human powers
cannot control it anymore. Only God's might can save us. Who are you? What do you want? Sir, you were right! Looks like this is the doing
of that sage. But I've a gut feeling that something
is going to happen tonight. On the day of the festival, if it takes over the soul of three people, then that evil spirit will
become an omnipotent force. ARANMANAI 4
(THE PALACE - 4) I can't even chase away a fly with
this team, forget chasing away a ghost! What was that ghost's name? Baak!","['Horror', 'Comedy']"
"Kill (2024) Official Teaser Trailer -  Lakshya, Tanya Maniktala, Raghav Juyal","(locomotive whooshing) (train bells ringing)
(music intensifies) - Welcome. Please prepare for departure. We hope you have a safe pleasant and delightful journey ahead. Thank you.",['Action']
BAD BOYS: RIDE OR DIE – Official Trailer (HD),"Bad Boys trailer is coming out. Right now. Right now? Right, right now? Yeah, ri-right now. Right now! Right now!
-Ch-check it out. It's hot. Marcus:
Come on Mike, slow down! We are late! My stomach, Mike. I need a ginger ale. (Screaming) Get a ginger ale, and nothing else. Are those dogs fresh? Put’ em in yesterday. Give me one. Put some relish on
that motherfucker. Thug:
Open the register! Thug:
Stay right there! Is that Skittles on the counter Marcus? This ain’t mine Mike. Yes it is. Shut the fuck up! Marcus, get in the car. He has a gun to my head! You want to deal with him or you
want to deal with me? Sorry sir, but I gotta go. Call 911. Clerk:
Aren’t you the police? Marcus:
Hey Reggie! Did you eat my snacks? No, sir! You ate my snacks didn’t you? You need to get a job. I’m a US Marine, sir. Well then you need to deploy. Daughter:
Dad, look. News Anchor:
We now have evidence that the late
Capt. Conrad Howard of Miami PD  News Anchor:
was working directly with drug cartels
...for years. Captain Howard is being framed. Let's go! What the hell? He’s texting us from the other side. No he’s not, Marcus. If you’re seeing this, I’m probably dead. Fuck! Fuckers! Fuck ‘em all! Conrad Howard:
I don’t how high up this shit goes,
but don’t trust anybody. You’re my bad boys, now clear my name. Armando:
You should be careful. You’re being set up detectives. Judy Howard:
We got two suspects, Lowrey
and Burnett! They’re armed and dangerous! Marcus:
In 5… 4….3… No! Windshield wiper fluid is flammable! I ain’t no damn scientist! Y’all are some terrible fucking fugitives. I need nasty Mike! Bad Boy! (Yelling) I got this! But you don’t though! Are y’all stealing our clothes? Just because we black,
we stealing your shit? Marcus! What? Look at your shirt. Why don’t you sing us a little Reba song? Oh come on, Reba. Sing your favorite. Uh...I'm a woman... I’m a strong black woman... Yeah ‘cuz she’s not black.
-Yes. What you gonna do,
what you gonna… That ain’t no Reba song. It’s from her mixtape.","['Action', 'Thriller', 'Crime']"
Godzilla x Kong: The New Empire | Official Trailer 2,"[muffled explosion] - For centuries,
there was harmony. The Titans were the guardians
of nature. And the Great Apes became
the protectors of humanity. [high-pitch ringing] - We've discovered a signal. [seismometer scraping] She can feel it. Kong... Godzilla... they can feel it too.
[Godzilla roaring] Something is coming, something even
they're afraid of. You feel like
going for a ride? - I thought you'd never ask. Just try not
to swallow your tongue. - What? Oh my God! [soundwaves warbling] ♪♪♪ [chittering] - Is that a mini-Kong? [roaring] - Oh, my God. - It's not just a signal. [whimpering]
That's a call for war. [growing] [apes grunting,
pounding] [whimpering] [roaring] - What is that? - Kong can't stop this
on his own. - He won't be alone. [roaring] ♪♪♪ - The last time
those two met up, it was almost the end of Kong. - They don't have
to like each other. [growling] They just have to work together. [roaring] - Now, I have seen everything. [explosions] [soundwaves warbling] - We've made some
minor augmentations. - Oh. [roaring] ♪♪♪","['Action', 'Science Fiction', 'Adventure', 'Fantasy']"
Alien: Romulus | Teaser Trailer,"VOICES
Help. Someone help me, please. No, no, I don't...I don't know what it is. Get it away from me. Come on, come on, come on, come on, come on,
come on, come on. Open the door! [Screams] Run.","['Science Fiction', 'Horror', 'Thriller']"
"Crew | Trailer | Tabu, Kareena Kapoor Khan, Kriti Sanon, Diljit Dosanjh, Kapil Sharma | March 29",,"['Comedy', 'Drama']"
FURIOSA : A MAD MAX SAGA | OFFICIAL TRAILER #2,"- Furiosa! We've come too far! [rumbling] [engine revving] Furiosa! ♪♪ They took Furiosa! ♪♪ - [screaming] As a child,
my world was forever changed. My mother was magnificent. [gunshot] Then he took it all from me. - [chanting]
Dementus! Dementus! - Who do we have here? - She's from
a place of abundance. - This is our destiny. - My childhood... my mother... I want them back. I want them back! [tires squealing] ♪♪ - Whatever you have to do... however long it takes... promise you will
find your way home. - Mom! - Protect the green place. - It's time to take
what's rightfully ours! Ready... steady... go! ♪♪ [bullets clinking] Where are you going, so full of hope? There is no hope! - If you find him, he's mine. [laughing] ♪♪ ♪♪ - There will always be war. But to get home... Furiosa fought the world. [engine revving] ♪♪ [engine revving] - Remember me? ♪♪","['Science Fiction', 'Action', 'Adventure']"
Mother of the Bride | Official Trailer | Netflix,"I can't believe
my little girl is getting married. Here's the wedding itinerary
for the week. Looks like
we won't get much time together. You're in the dance rehearsal.
See the asterisk? -""Mother of the Bride?""
-Now, I'm an asterisk. RJ! This is my Aunt Janice. And you must be the mother of-- -Lana?
-Hi-lo! I mean, ""Hello."" Could someone explain
what's going on? Once upon a time, your father and Emma's mother dated in college. -Wait. What?
-Oh, I mean, it wasn't serious. Are you serious? My daughter has to fall for the son of the guy
who ripped my heart out. You have to play cool.
Let him see what he's missed, but don't let him know you care. Will? -What are you doing?
-I'm leaving. Best thing you can do is relax. -Mixed doubles?
-She doesn't like to lose. Who said anything about losing? -I'm so sorry.
-Hey, buddy, I'm a doctor. I need you to relax and breathe. Hey, listen.
Can I buy you a drink tonight? -Oh, thank you, but--
-She's wide open. -See you then.
-You're welcome. I get that
you were a thing in college, but what's the big deal? We were everything to each other. And then, one day, he's just gone. Everyone, find your partners. I don't have a partner. I'll be your partner. What is going on
between the two of them? -Mom, are you okay?
-Honey, I'm fine. It's time to take care of me a bit less and take care of yourself a bit more. I just want you to be happy. Nothing says elegance
like a black and white wedding. So, your mother will be wearing this one.","['Romance', 'Comedy']"
The Penguin | Official Teaser | Max,"♪ (TENSE MUSIC PLAYS) ♪ (SCREAMS) -Hey!
-(GUNSHOT FIRES) (ALARM WAILS DISTANTLY) ♪ (OMINOUS MUSIC PLAYS) ♪ OZ COBBLEPOT:
 When I was a kid... there was a gangster,
a real old school type. Rex Calabrese. He was a big deal.  He helped people. If he saw you on the street,
 he'd call out to you. When I'm 14 or somethin', he has a heart attack and dies, still holdin' a cigar. In my neighborhood,  they throw a parade
 in his honor. A friggin' parade.  And it wasn't fancy,
 but it was the gesture. The show of love, of what he meant. ♪ (MUSIC BUILDS) ♪ (CLOCK TICKING) -(SHOUTS)
-(EXPLOSION) -(GUNFIRE)
-(YELLS) (SCREAMS) ♪ (MUSIC STOPS ABRUPTLY) ♪ Can you imagine,
to be remembered like that?","['Animation', 'Adventure', 'Family']"
