videoId,title,movieName,genres,subtitles,word_count
FjzxI6uf8H8,Speak No Evil | Official Trailer,Speak No Evil,"['Drama', 'Horror', 'Thriller']","- This is my husband, Ben.
- Patrick Feld. This is my wife, Kira. - This is Agnes. - Ant has some trouble communicating. He can be a bit insecure. - Nice Vespa.
- Yeah, isn't she? You should try.
- Can we? - I won't call the fun
police if you don't. - Okay. - Back before I quit my practice. - You're a lawyer?
- Doctor. Listen, you have to come and visit. - Yeah, that'd be great. - Yeah?
- Yeah. - Done. - [Ben] So quiet around here. Do they even have any neighbors? - [Kira] Hey, you've made it! - Welcome, welcome. Ta-da.
- You are VIP guests. - Just to remind you, I'm a vegetarian. - Our gift to you. - That is so, I'm- - [Patrick] Now way, it's doctor's orders. - Hmm. Very good. - Settle in, I promise you
guys, could be a great weekend. How long's it been?
- 17 years. - 17 years.
- Wow. - You get less for murder. - Something's not right with him. - He has a condition. Makes it hard for him to communicate. - Sometimes it's okay to think things, but you can't actually say them. Oh no. - [Ben] Thank God there's
a doctor in the house. - I'm not a doctor. - What? - Well, didn't you say you were a doctor? - Did I? - You. - The look on their faces. of course, I'm a bloody doctor. - Oh.
- Oh. Agnes, why don't you and
Ant show us the dance that you've been working on? ♪ Hadn't been for Cotton-Eye Joe ♪ ♪ I'd been married long time ago ♪ ♪ Where did you come
from, where did you go ♪ - Ant, what is wrong with you? Just feel the rhythm in your feet. Right, one, two, three, four. This is the one. No!
- Patty! - What is wrong with you? - I wanna pack up the car
and I wanna leave right now. - I'm just sad to see you go. - We are gonna go out there
and be completely normal. - I've been pretending it's
normal since we got here. Dad? - Remember that time
you guys came to stay? And you flipped out and tried to leave without saying goodbye.",388
xy8aJw1vYHo,Joker: Folie à Deux | Official Teaser Trailer,Joker: Folie à Deux,"['Drama', 'Crime', 'Thriller']","[gate opening,
indistinct chatter] GUARD 1: Let's go, boys.
It's showtime. Wakey-wakey. GUARD 2: Hey, Fleck,
you got a joke for us today? ♪ ♪ MAN: We use music
to make us whole. ♪ ♪ To balance the fractures
within ourselves. ♪ ♪ HARLEY QUINN:
I'm nobody. ♪ ♪ I haven't done anything
with my life like you have. ♪ ♪ Let's get out of here. ♪ ♪ ♪ ♪ - ♪ What the world needs now ♪ ♪ Is love, sweet love ♪ ♪ It's the only thing ♪ ♪ That there's just
too little of ♪ ♪ What the world needs now ♪ ♪ Is love, sweet love ♪ - Tell us, what's changed,
Arthur? ♪ ♪ ARTHUR:
I'll tell you what's changed, I'm not alone anymore. ♪ ♪ That's what we should
be talking about. ♪ ♪ [maniacal laugh] ♪ ♪ [notes from ""What the World
Needs Now Is Love"" play] HARLEY QUINN:
I want to see the real you. ♪ ♪",165
y0uS3t6nFgY,MaXXXine | Official Trailer HD | A24,MaXXXine,"['Crime', 'Horror', 'Thriller']","So Maxine, your agent tells us you're
quite a popular name in adult film and entertainment. Is that correct? I'm curious, did you always
wanna be in that line of work? I always wanted to be famous. If you need to read off
the sides we gave you, just go ahead, all right? I know the lines. ""She turns to the camera, ""and through her trauma,
addresses the lens directly."" Name five celebrities who got their start in horror movies. Jamie Lee Curtis, John Travolta, Demi Moore, Brooke Shields, and. Maxine fucking Minx. I don't like walking out here with that fricking Night
Stalker guy on the loose. The Night Stalker. Night Stalker. Night Stalker. Is terrorizing Los Angeles. I can handle myself. So said every dead girl in Hollywood. Maxine. I'm the private detective,
hired to find you. My employer is a very powerful man. The past ain't finished with you. It's gonna keep knocking at your door. Tragically, another victim of the Night Stalker. If I knew three people who
were murdered in three days, I'd be pretty scared. What are you hiding, Maxine? If I tell you something, we've got confidentiality. What'd you do? This is the defining role of your career. Whatever is going on in your life, that's interfering with this picture, squash it. I intend to. Maxine. Maxine. Maxine.
Maxine. Maxine.
Maxine. You're a fucking movie star. Drop it.",235
j6ucGt_Xp14,Dark Matter — Official Trailer | Apple TV+,Dark Matter —,['Documentary'],"Jason: Something happened to me. But you wouldn't believe me if I told you. - (Glass clinking)
- Oh, here we go. Wait for this. To my extraordinary wife, Daniela. I do not deserve you. - That's true.
- (Laughter) A man of science, he's married to the woman of his dreams, and they have a good life. - Have a good day.
- Coffee to go. Oh my gosh, you're my hero. (Thunder) Jason: Until, one night… he doesn't make it home. (Thud) When he regains consciousness… everything has changed. I don't know.
It sounds like he's crazy I'm not crazy. ♪ Hush, little baby ♪ Um, who are you? I live here with you. Charlie! Daniela! Have you done something to them? I don't know who you're talking about. Jason: It's Jason. You know me. I've never served you. It's not funny.
Just tell me you know… who I am. I've never seen you before… in my life. Jason: I just need answers. ♪ And I can never… ♪ You built the box. Leighton: Behind every door in there
is a version of your life… that you could have lived. Jason: A different Jason stole me… from my world. And he brought me to his world. What if the person that abducted me… is me? Hey, fam. ♪ Oh, life is so lonely ♪ Why would he do that? Amanda: What's the one thing
you had that he didn't? Daniela: He has been different,
and I'm scared. I don't know what to do. Jason: I need to use the box
to get home. The world you're looking for
is a grain of sand on an infinite beach. ♪ I can never… ♪ Jason: I want to get home to my family. ♪ …go home anymore ♪ I want my life back. ♪ Do you ever get that feeling
You want to kiss and hug her? ♪ ♪ Do it now ♪ ♪ Tell her you love her ♪ ♪ And I can never go home ♪",338
GTNMt84KT0k,Alien: Romulus | Teaser Trailer,Alien: Romulus,"['Science Fiction', 'Horror', 'Thriller']","VOICES
Help. Someone help me, please. No, no, I don't...I don't know what it is. Get it away from me. Come on, come on, come on, come on, come on,
come on, come on. Open the door! [Screams] Run.",39
2lqRPUhPfho,Unfrosted | Official Trailer | Netflix,Unfrosted,"['Comedy', 'History']","Ground control. We are go for launch. T-minus three… two… one. Liftoff. Liftoff. I believe we have split
the atom of breakfast. In the early 1960s,
the American morning was defined by milk and cereal. And the two undisputed giants
of the cereal world were Kellogg's and Post. Major news
from the breakfast world. The Post cereal company has
reportedly invented a shelf-stable fruit pastry breakfast product. -No.
-Yeah. Boy. It's Post. They did it. I'm about to finally crush
that big red ""K"" that never stops glaring at me. How do you think Post did it? There's always a surprise
inside the box. -I wonder if they used xanthan gum.
-Xanthan. Kellogg's is entering the race
to reinvent breakfast with the help of Steve Schwinn,
Chef Boyardee, and Jack LaLanne. They're stacking the deck
with ringers. You know Isaiah Lamb from Quaker. You Kellogg's people. We're about to have some
very powerful people very upset. You have to win.
Are you making any progress? It's not to scale, but… What are you guys, five years old? Little John-John
draws better than that. And I think something's
wrong with him. Nobody said
this was gonna be easy. We're talkin' about
happy childhoods for millions of American kids. The important thing is the name. -Fruit-magoos. What?
-No. -Heat 'em up and Eat 'em ups.
-No sale. Oblong Nibblers. Is this a joke? Whoever gets to the shelves first
is gonna win this thing. Give up the tarts, old man! Why? How did it get this far? It's breakfast. Things happen. Isn't this a cereal company?
Why did my husband explode?",269
hRFY_Fesa9Q,BAD BOYS: RIDE OR DIE – Official Trailer (HD),BAD BOYS: RIDE OR DIE –,"['Action', 'Thriller', 'Crime']","Bad Boys trailer is coming out. Right now. Right now? Right, right now? Yeah, ri-right now. Right now! Right now!
-Ch-check it out. It's hot. Marcus:
Come on Mike, slow down! We are late! My stomach, Mike. I need a ginger ale. (Screaming) Get a ginger ale, and nothing else. Are those dogs fresh? Put’ em in yesterday. Give me one. Put some relish on
that motherfucker. Thug:
Open the register! Thug:
Stay right there! Is that Skittles on the counter Marcus? This ain’t mine Mike. Yes it is. Shut the fuck up! Marcus, get in the car. He has a gun to my head! You want to deal with him or you
want to deal with me? Sorry sir, but I gotta go. Call 911. Clerk:
Aren’t you the police? Marcus:
Hey Reggie! Did you eat my snacks? No, sir! You ate my snacks didn’t you? You need to get a job. I’m a US Marine, sir. Well then you need to deploy. Daughter:
Dad, look. News Anchor:
We now have evidence that the late
Capt. Conrad Howard of Miami PD  News Anchor:
was working directly with drug cartels
...for years. Captain Howard is being framed. Let's go! What the hell? He’s texting us from the other side. No he’s not, Marcus. If you’re seeing this, I’m probably dead. Fuck! Fuckers! Fuck ‘em all! Conrad Howard:
I don’t how high up this shit goes,
but don’t trust anybody. You’re my bad boys, now clear my name. Armando:
You should be careful. You’re being set up detectives. Judy Howard:
We got two suspects, Lowrey
and Burnett! They’re armed and dangerous! Marcus:
In 5… 4….3… No! Windshield wiper fluid is flammable! I ain’t no damn scientist! Y’all are some terrible fucking fugitives. I need nasty Mike! Bad Boy! (Yelling) I got this! But you don’t though! Are y’all stealing our clothes? Just because we black,
we stealing your shit? Marcus! What? Look at your shirt. Why don’t you sing us a little Reba song? Oh come on, Reba. Sing your favorite. Uh...I'm a woman... I’m a strong black woman... Yeah ‘cuz she’s not black.
-Yes. What you gonna do,
what you gonna… That ain’t no Reba song. It’s from her mixtape.",370
FjZdTTc5TIE,Joker: Folie À Deux | Official Teaser Trailer,Joker: Folie À Deux,"['Drama', 'Crime', 'Thriller']","Let's go, boys. It's showtime.
Wakey-wakey. Hey, Fleck, you got a joke for us today? We use music to make us whole. To balance the fractures within ourselves. I'm nobody. I haven't done anything with my life
like you have. Let's get out of here. Tell us, what's changed, Arthur? I'll tell you what's changed,
I'm not alone anymore. That's what we should be talking about. I want to see the real you.",73
dwWnrTdm7Sc,movie trailer abt if subscriptions took over the world,movie,['Comedy'],"Welcome to year five of the first test of the Infinity Model. As we consider this a successful launch We plan to roll out the Subscription Service across the nation within the next few months. Anyone caught associating with the Resistance Outlaws  That refuse to join us, will be detained. If you've kept up with your payments, then we hope you've enjoyed all of your vehicles, animals, human organs, and more. If not, our collectors will be happy to take it off your hands. I know someone has to pick up the unpaid subscriptions, but why does it have to be me? I'm sorry, kid. I need the dog. I can't be the only one out here. I got to find the others. You can't go out there. They know who we are. I won't let them find us. There is an end to this road. If we're going to do this, you have to trust us. Okay. I trust you. You know they're never going to stop coming after us. Let them come. Don't be afraid of them. You can't keep running. I'm not. This is our only chance. This is bigger than you. You can't stop this. Watch me.",201
lW7enw6mFxs,FLY ME TO THE MOON - Official Trailer (HD),FLY ME TO THE MOON,"['Comedy', 'Romance']","Hey, Joe. Joe:
Evening, Cole. Miss, you're on fire. That's very original. No I do not want to stop, drop, and roll with you. No, your book is on fire. Kelly:
Oh my God. Alcohol and flames; they like each other.  [Haha] Cole Davis. Kelly Jones. [MUSIC PLAYING] Mo:
Public support for the moon mission is rock bottom. Every day something is breaking. And we're dead... again. Cole:
Or blowing up. The space program is a bloated mess. NASA needs a marketing specialist, and you are the very best. Excuse me? What are you doing here? I tracked you down because I felt we had a connection. What? I'm joking. I work here now, to sell the moon. Cole:
NASA's not something that you sell with a jingle and a slogan. When I'm done, these men are going to be bigger than the Beatles. Cole:
Who is that? For me, that's a very personal. He's got my name. You told me that your guys don't do interviews, so I had to hire new guys. I'm here for the casting. Who's he? You. You're a juicy part. Sixty missions in Korea? I flew fifty-two missions in Korea. I flew fifty-two missions in Korea.... How's that? What? The whole world will be watching. Mo:
We can't afford to lose to the Russians. Mo:
We need to shoot the backup version of the moon landing. You mean to fake it? No one can ever know what we're doing. I cannot accept that. They will shoot you. What is my budget? Oh, boy. Cole:
I know a lot more about the moon than I know about you. Give me go, no go for launch. Cole:
If you fake this mission, every single thing that we have sacrificed will have been for nothing. You know you couldn't have made it to this day without me. Cole:
Four.. Cole/Kelly:
Three... Cole/Kelly:
Two... Cole/Kelly:
One... Kelly:
And... My Armstrong is a whiny little bitch. Lance:
We have to recast. I think we should have gotten Kubrick.",339
